game_id,game_date,team,injury_off_impact,injury_def_impact,players_flagged,flagged_players,injury_total_impact
22500308,2025-11-30,NOP,0.0,0.0,0,,0.0
22500309,2025-12-01,ATL,0.0,0.0,0,,0.0
22500309,2025-12-01,DET,0.0,0.0,0,,0.0
22500310,2025-12-01,CLE,0.0,0.0,0,,0.0
22500310,2025-12-01,IND,0.0,0.0,0,,0.0
22500311,2025-12-01,MIL,0.0,0.0,0,,0.0
22500311,2025-12-01,WAS,0.0,0.0,0,,0.0
22500312,2025-12-01,BKN,0.0,0.0,0,,0.0
22500312,2025-12-01,CHA,0.0,0.0,0,,0.0
22500313,2025-12-01,LAC,0.0,0.0,0,,0.0
22500313,2025-12-01,MIA,0.0,0.0,0,,0.0
22500314,2025-12-01,CHI,0.0,0.0,0,,0.0
22500314,2025-12-01,ORL,0.0,0.0,0,,0.0
22500315,2025-12-01,DAL,0.0,0.0,0,,0.0
22500315,2025-12-01,DEN,0.0,0.0,0,,0.0
22500316,2025-12-01,HOU,0.0,0.0,0,,0.0
22500316,2025-12-01,UTA,0.0,0.0,0,,0.0
22500317,2025-12-01,LAL,0.0,0.0,0,,0.0
22500317,2025-12-01,PHX,0.0,0.0,0,,0.0
22500318,2025-12-02,PHI,0.0,0.0,0,,0.0
22500318,2025-12-02,WAS,0.0,0.0,0,,0.0
22500319,2025-12-02,POR,0.0,0.0,0,,0.0
22500319,2025-12-02,TOR,0.0,0.0,0,,0.0
22500320,2025-12-02,BOS,0.0,0.0,0,,0.0
22500320,2025-12-02,NYK,0.0,0.0,0,,0.0
22500321,2025-12-02,MIN,0.0,0.0,0,,0.0
22500321,2025-12-02,NOP,0.0,0.0,0,,0.0
22500322,2025-12-02,MEM,0.0,0.0,0,,0.0
22500322,2025-12-02,SAS,0.0,0.0,0,,0.0
22500323,2025-12-02,GSW,0.0,0.0,0,,0.0
22500323,2025-12-02,OKC,0.0,0.0,0,,0.0
22500324,2025-12-03,CLE,0.0,0.0,0,,0.0
